NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
144,부산광역시 사하구 하단동,510-15,510.0,15.0,사하삼정그린코아더시티,전세,64.9906,202508,12,"29,000",0,11.0,2025.0,승학로3번길 47,202508~202708,신규,-,,,아파트,,,,부산광역시 사하구 하단동 승학로3번길 47,
146,부산광역시 해운대구 좌동,1386,1386.0,0.0,롯데2,전세,59.76,202508,12,"15,000",0,10.0,1998.0,좌동순환로 117,202510~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로 117,32300.0
148,부산광역시 강서구 명지동,3231,3231.0,0.0,퀸덤1차링컨타운,전세,101.86,202508,12,"30,000",0,6.0,2009.0,명지오션시티10로 16,202509~202708,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지오션시티10로 16,37000.0
149,부산광역시 강서구 명지동,3399,3399.0,0.0,명지더웨스턴,전세,74.62,202508,12,"23,000",0,8.0,2018.0,명지국제7로 111,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지국제7로 111,38500.0
151,부산광역시 해운대구 좌동,1439,1439.0,0.0,벽산2,전세,59.73,202508,12,"19,500",0,22.0,1996.0,좌동순환로299번길 11,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로299번길 11,49500.0
152,부산광역시 해운대구 좌동,1323,1323.0,0.0,한라,전세,134.97,202508,12,"39,000",0,7.0,1996.0,좌동순환로 280,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로 280,36700.0
156,부산광역시 부산진구 전포동,587,587.0,0.0,서면롯데캐슬스카이,전세,84.8167,202508,12,"30,000",0,14.0,2004.0,전포대로275번길 20,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 전포대로275번길 20,15000.0
159,부산광역시 서구 충무동2가,34,34.0,0.0,충무제1,전세,54.88,202508,12,"7,000",0,3.0,1975.0,천마로205번길 39,202509~202709,신규,-,,,아파트,,,,부산광역시 서구 충무동2가 천마로205번길 39,
160,부산광역시 부산진구 초읍동,271-4,271.0,4.0,선경,전세,103.49,202508,12,"20,000",0,12.0,1982.0,새싹로 221,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 초읍동 새싹로 221,48000.0
161,부산광역시 부산진구 전포동,876-4,876.0,4.0,전포동에메랄드홈,전세,84.525,202508,12,"26,000",0,19.0,2006.0,중앙대로 786,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 중앙대로 786,32500.0
168,부산광역시 중구 부평동4가,2-2,2.0,2.0,대근하버빌타운,전세,84.7,202508,12,"16,000",0,9.0,2004.0,대청로 32,202509~202709,신규,-,,,아파트,,,,부산광역시 중구 부평동4가 대청로 32,24700.0
173,부산광역시 부산진구 전포동,345-16,345.0,16.0,영진파크,전세,40.57,202508,11,"18,000",0,3.0,2019.0,서전로58번길 84,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 서전로58번길 84,
175,부산광역시 부산진구 연지동,415,415.0,0.0,래미안어반파크1단지,전세,114.84,202508,11,"70,000",0,18.0,2022.0,성지로 37,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 연지동 성지로 37,76500.0
176,부산광역시 부산진구 범천동,974-16,974.0,16.0,가야누리애더센트리즈,전세,50.1922,202508,11,"17,000",0,15.0,2020.0,범천로 16,202510~202709,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 범천로 16,20300.0
178,부산광역시 부산진구 연지동,41-4,41.0,4.0,연지에코팰리스,전세,70.144,202508,11,"30,000",0,26.0,2020.0,동평로 281,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 연지동 동평로 281,41000.0
186,부산광역시 동래구 온천동,210-72,210.0,72.0,위버스파아파트,전세,48.1747,202508,11,"20,000",0,10.0,2025.0,금강로106번길 3,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 온천동 금강로106번길 3,
190,부산광역시 동래구 온천동,1453-5,1453.0,5.0,신성노블레스,전세,18.13,202508,11,"9,000",0,7.0,2017.0,미남로146번길 74-1,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 온천동 미남로146번길 74-1,
195,부산광역시 해운대구 우동,1388-1,1388.0,1.0,경남마리나,전세,84.93,202508,11,"29,500",0,4.0,1996.0,해운대해변로 99,202508~202708,신규,-,,,아파트,,,,부산광역시 해운대구 우동 해운대해변로 99,92500.0
196,부산광역시 남구 문현동,18,18.0,0.0,광원문현맨션,전세,84.96,202508,11,"13,700",0,5.0,1991.0,고동골로97번길 67,202509~202708,신규,-,,,아파트,,,,부산광역시 남구 문현동 고동골로97번길 67,21700.0
197,부산광역시 북구 구포동,1060-188,1060.0,188.0,구포2차봄여름가을겨울,전세,50.39,202508,11,"14,000",0,6.0,2019.0,가람로 32,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 구포동 가람로 32,17500.0
206,부산광역시 남구 대연동,1872,1872.0,0.0,대연롯데캐슬레전드1단지,전세,59.96,202508,11,"33,000",0,17.0,2018.0,수영로 135,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 대연동 수영로 135,20300.0
207,부산광역시 북구 만덕동,911-3,911.0,3.0,럭키2,전세,84.94,202508,11,"14,000",0,10.0,1992.0,덕천로234번길 34,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 만덕동 덕천로234번길 34,17700.0
208,부산광역시 해운대구 우동,1527,1527.0,0.0,해운대자이1단지,전세,84.9493,202508,11,"47,000",0,7.0,2013.0,해운대로 435,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 우동 해운대로 435,74000.0
209,부산광역시 기장군 정관읍 모전리,776,776.0,0.0,정관동일스위트2차,전세,78.5355,202508,11,"21,000",0,5.0,2013.0,정관3로 23,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 모전리 정관3로 23,25000.0
210,부산광역시 기장군 기장읍 내리,776,776.0,0.0,동부산동원로얄듀크,전세,84.74,202508,11,"25,000",0,5.0,2009.0,기장대로 67,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 기장읍 내리 기장대로 67,34500.0
214,부산광역시 수영구 광안동,74-8,74.0,8.0,일성센텀스카이뷰,전세,27.39,202508,11,"8,800",0,9.0,2012.0,수영로680번길 9,202509~202708,신규,-,,,아파트,,,,부산광역시 수영구 광안동 수영로680번길 9,
219,부산광역시 연제구 거제동,714-144,714.0,144.0,유림아시아드,전세,130.89,202508,11,"30,000",0,25.0,2001.0,해맞이로 23,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 해맞이로 23,52500.0
220,부산광역시 기장군 일광읍 삼성리,820,820.0,0.0,일광신도시비스타동원1차,전세,104.2061,202508,11,"40,000",0,17.0,2020.0,해빛2로 24,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 일광읍 삼성리 해빛2로 24,61800.0
225,부산광역시 기장군 정관읍 매학리,723,723.0,0.0,정관2차동원로얄듀크,전세,59.997,202508,11,"22,000",0,9.0,2013.0,정관5로 12,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 매학리 정관5로 12,25000.0
227,부산광역시 기장군 정관읍 방곡리,405,405.0,0.0,정관가화만사성더테라스2차,전세,60.1758,202508,11,"22,000",0,2.0,2018.0,구연방곡로 106,202508~202708,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 방곡리 구연방곡로 106,37000.0
228,부산광역시 해운대구 좌동,1302,1302.0,0.0,동신,전세,55.68,202508,11,"19,000",0,1.0,1996.0,좌동순환로217번길 7,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로217번길 7,41700.0
229,부산광역시 해운대구 좌동,1333,1333.0,0.0,대우,전세,59.946,202508,11,"21,000",0,7.0,1996.0,세실로 19,202508~202708,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 세실로 19,38500.0
233,부산광역시 사하구 다대동,120-1,120.0,1.0,다대포현대,전세,78.3,202508,11,"15,000",0,7.0,1993.0,다대로 473,202509~202709,신규,-,,,아파트,,,,부산광역시 사하구 다대동 다대로 473,20500.0
236,부산광역시 사하구 신평동,674,674.0,0.0,사하코오롱하늘채,전세,84.8943,202508,11,"27,000",0,18.0,2021.0,신산북로 41,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 신평동 신산북로 41,26400.0
241,부산광역시 금정구 장전동,717,717.0,0.0,벽산블루밍장전디자인시티2단지,전세,84.99,202508,11,"35,000",0,2.0,2012.0,금강로 225,202509~202709,신규,-,,,아파트,,,,부산광역시 금정구 장전동 금강로 225,48000.0
242,부산광역시 강서구 명지동,3234,3234.0,0.0,명지두산위브포세이돈,전세,84.9819,202508,10,"24,000",0,9.0,2013.0,명지오션시티11로 22,202511~202711,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지오션시티11로 22,36000.0
245,부산광역시 해운대구 반여동,1600-1,1600.0,1.0,그린파크,전세,47.68,202508,10,"6,000",0,4.0,1988.0,재반로270번길 13,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 반여동 재반로270번길 13,9000.0
247,부산광역시 해운대구 중동,1839,1839.0,0.0,롯데캐슬스타,전세,84.9177,202508,10,"51,000",0,18.0,2020.0,중동2로34번길 15,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 중동 중동2로34번길 15,106500.0
249,부산광역시 북구 구포동,1103-2,1103.0,2.0,구포현대,전세,78.18,202508,10,"17,500",0,10.0,1994.0,백양대로 1003,202510~202710,신규,-,,,아파트,,,,부산광역시 북구 구포동 백양대로 1003,25000.0
250,부산광역시 부산진구 전포동,908,908.0,0.0,서면아이파크1단지,전세,72.5835,202508,10,"40,000",0,27.0,2021.0,동성로 50,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 동성로 50,55000.0
253,부산광역시 부산진구 개금동,1-4,1.0,4.0,삼환,전세,84.93,202508,10,"14,500",0,5.0,1995.0,백양대로208번길 133,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 개금동 백양대로208번길 133,18300.0
259,부산광역시 연제구 거제동,1467-1,1467.0,1.0,거제동롯데캐슬,전세,84.937,202508,10,"30,000",0,2.0,2001.0,세병로 44,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 세병로 44,42000.0
261,부산광역시 연제구 연산동,578-1,578.0,1.0,삼익,전세,62.64,202508,10,"17,000",0,13.0,1979.0,중앙대로 1164,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 중앙대로 1164,29000.0
264,부산광역시 기장군 정관읍 모전리,728,728.0,0.0,동일스위트3차,전세,84.9938,202508,9,"23,000",0,16.0,2014.0,모전1길 9,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 모전리 모전1길 9,29000.0
266,부산광역시 기장군 정관읍 용수리,1279,1279.0,0.0,정관이진캐스빌2차,전세,84.7894,202508,9,"23,000",0,3.0,2017.0,가동3로 19,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 가동3로 19,30500.0
267,부산광역시 기장군 정관읍 용수리,1387,1387.0,0.0,정관동일스위트1차,전세,84.9923,202508,9,"24,000",0,20.0,2012.0,정관4로 24,202509~202709,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 정관4로 24,28800.0
268,부산광역시 연제구 연산동,2382,2382.0,0.0,힐스테이트연산,전세,59.9797,202508,9,"30,000",0,22.0,2021.0,봉수로 2,202510~202710,신규,-,,,아파트,,,,부산광역시 연제구 연산동 봉수로 2,44500.0
271,부산광역시 사상구 학장동,858,858.0,0.0,학장동삼정그린코아아파트,전세,84.9513,202508,9,"30,000",0,10.0,2014.0,학감대로123번길 67,202510~202710,신규,-,,,아파트,,,,부산광역시 사상구 학장동 학감대로123번길 67,27500.0
272,부산광역시 기장군 정관읍 용수리,1275,1275.0,0.0,정관양우내안愛,전세,59.9527,202508,9,"18,000",0,13.0,2016.0,정관5로 144,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 정관5로 144,20800.0
276,부산광역시 해운대구 중동,1818,1818.0,0.0,해운대힐스테이트위브,전세,102.3162,202508,9,"40,000",0,30.0,2015.0,좌동순환로433번길 30,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 중동 좌동순환로433번길 30,75000.0
281,부산광역시 남구 용호동,980,980.0,0.0,데시앙해링턴플레이스파크시티,전세,59.9725,202508,9,"29,000",0,22.0,2023.0,용주로 36,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 용호동 용주로 36,38000.0
