NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(원),공시지가(원),위도,경도
86,부산광역시 연제구 거제동,1536,1536.0,0.0,레이카운티(4단지),전세,84.8261,202508,"45,000",4.0,2024.0,아시아드대로 39,202512~202712,아파트,부산광역시 연제구 거제동 아시아드대로 39,895000000,608600000,35.1899959215514,129.066108752828
87,부산광역시 수영구 민락동,108-1,108.0,1.0,센텀비치푸르지오,전세,150.8,202508,"41,000",19.0,2003.0,광안해변로 418,202509~202709,아파트,부산광역시 수영구 민락동 광안해변로 418,560000000,380800000,35.1599861941994,129.131517870961
93,부산광역시 연제구 연산동,21.Apr,2121.0,4.0,배산프라임타워,전세,46.75,202508,"16,500",8.0,2018.0,배산로 34,202508~202612,아파트,부산광역시 연제구 연산동 배산로 34,210000000,142800000,35.1739327384531,129.095892979818
94,부산광역시 연제구 연산동,2341,2341.0,0.0,연제롯데캐슬데시앙,전세,84.83,202508,"36,000",30.0,2018.0,월드컵대로 55,202509~202709,아파트,부산광역시 연제구 연산동 월드컵대로 55,678000000,461040000,35.1804004746119,129.083357974777
95,부산광역시 사상구 엄궁동,683-3,683.0,3.0,엄궁2차한신,전세,73.2,202508,"14,000",3.0,1999.0,엄궁로 40,202509~202709,아파트,부산광역시 사상구 엄궁동 엄궁로 40,155000000,105400000,35.1245195206599,128.96924125613
100,부산광역시 사상구 괘법동,984,984.0,0.0,센트럴스타힐스,전세,59.9926,202508,"27,000",19.0,2022.0,사상로223번길 23,202510~202710,아파트,부산광역시 사상구 괘법동 사상로223번길 23,405000000,275400000,35.1641703820883,128.981914602925
102,부산광역시 사상구 괘법동,545-4,545.0,4.0,네오리더스사상,전세,34.24,202508,"12,500",15.0,2019.0,광장로87번길 17,202509~202709,아파트,부산광역시 사상구 괘법동 광장로87번길 17,150000000,102000000,35.1632464637396,128.985525539926
109,부산광역시 수영구 수영동,541,541.0,0.0,현대,전세,68.76,202508,"15,000",8.0,1988.0,수영로741번길 20,202510~202710,아파트,부산광역시 수영구 수영동 수영로741번길 20,830000000,564400000,35.1673047822004,129.122786494183
113,부산광역시 연제구 거제동,212-1,212.0,1.0,화신거림(212-1),전세,71.11,202508,"8,000",4.0,1978.0,교대로24번길 68,202509~202709,아파트,부산광역시 연제구 거제동 교대로24번길 68,270000000,183600000,35.198231685941,129.0758103205
115,부산광역시 사상구 주례동,1289,1289.0,0.0,주례롯데캐슬골드스마트,전세,39.7243,202508,"16,000",7.0,2022.0,가야대로255번길 5,202509~202709,아파트,부산광역시 사상구 주례동 가야대로255번길 5,540000000,367200000,35.1523287221475,128.996756992175
121,부산광역시 기장군 정관읍 방곡리,378,378.0,0.0,부산정관지구이지더원5차아파트,전세,68.414,202508,"20,000",15.0,2015.0,방곡로 29,202510~202710,아파트,부산광역시 기장군 정관읍 방곡리 방곡로 29,220000000,149600000,35.3270346877571,129.187765897539
