NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(원),공시지가(원),위도,경도
4987,부산광역시 금정구 구서동,183-2,183.0,2.0,구서 협성 엠파이어,전세,84.977,202506,"28,000",7.0,2013.0,중앙대로 1920,202508~202705,아파트,부산광역시 금정구 구서동 중앙대로 1920,395000000,268600000,35.2553495851509,129.091783768983
5010,부산광역시 남구 용호동,181-1,181.0,1.0,현대비치,전세,52.29,202506,"15,000",23.0,1997.0,용호로42번길 14,202507~202707,아파트,부산광역시 남구 용호동 용호로42번길 14,234000000,159120000,35.12695487974,129.108422424688
5012,부산광역시 북구 화명동,1426-1,1426.0,1.0,우신,전세,57.26,202506,"8,000",2.0,1987.0,금곡대로324번길 45,202507~202707,아파트,부산광역시 북구 화명동 금곡대로324번길 45,240000000,163200000,35.2372931498793,129.016933178537
5031,부산광역시 부산진구 부전동,508-22,508.0,22.0,보영미네르빌,전세,32.154,202506,"4,500",15.0,2003.0,가야대로750번길 6,202506~202706,아파트,부산광역시 부산진구 부전동 가야대로750번길 6,45000000,30600000,35.1571618615311,129.053412078897
5039,부산광역시 영도구 대교동1가,129-2,129.0,2.0,한우리6차,전세,59.645,202506,"19,000",11.0,2019.0,남항서로 132,202507~202707,아파트,부산광역시 영도구 대교동1가 남항서로 132,248000000,168640000,35.0919142841301,129.038220829891
5048,부산광역시 부산진구 연지동,23-17,23.0,17.0,연지2청구,전세,59.895,202506,"14,000",19.0,2002.0,동평로291번길 30-17,202507~202607,아파트,부산광역시 부산진구 연지동 동평로291번길 30-17,255000000,173400000,35.174113118202,129.05714237943
5051,부산광역시 부산진구 범천동,1287-1,1287.0,1.0,새롬하이빌2차,전세,84.9,202506,"16,000",5.0,2003.0,신암로39번길 4,202506~202706,아파트,부산광역시 부산진구 범천동 신암로39번길 4,130000000,88400000,35.1455222811059,129.055200498193
5066,부산광역시 기장군 기장읍 청강리,868,868.0,0.0,웨이브리즈,전세,55.99,202506,"22,000",2.0,2022.0,대변로 43,202509~202708,아파트,부산광역시 기장군 기장읍 청강리 대변로 43,283000000,192440000,35.2327659552621,129.220588992657
5083,부산광역시 연제구 연산동,1873-30,1873.0,30.0,한독,전세,81.15,202506,"10,000",4.0,1979.0,봉수로 15,202508~202708,아파트,부산광역시 연제구 연산동 봉수로 15,198000000,134640000,35.1728832483228,129.089548068769
5084,부산광역시 연제구 연산동,587-4,587.0,4.0,에스케이뷰,전세,119.8065,202506,"24,350",7.0,2006.0,중앙대로1124번길 15,202506~202706,아파트,부산광역시 연제구 연산동 중앙대로1124번길 15,478000000,325040000,35.1885940971356,129.081982198259
5123,부산광역시 수영구 수영동,432-1,432.0,1.0,수영협성르네상스타운,전세,84.9468,202506,"35,000",19.0,2004.0,수영로741번길 46,202508~202708,아파트,부산광역시 수영구 수영동 수영로741번길 46,558000000,379440000,35.1711046086256,129.120999627385
5125,부산광역시 연제구 연산동,406-10,406.0,10.0,연산동한솔솔파크,전세,84.9944,202506,"24,000",3.0,2007.0,과정로 211,202507~202707,아파트,부산광역시 연제구 연산동 과정로 211,310000000,210800000,35.1872885603013,129.103871324026
5180,부산광역시 사하구 괴정동,571-8,571.0,8.0,일동지에닌,전세,84.89,202506,"26,000",9.0,2004.0,낙동대로 301,202508~202708,아파트,부산광역시 사하구 괴정동 낙동대로 301,300000000,204000000,35.0989898252693,128.984353824496
5208,부산광역시 동구 초량동,1156-4,1156.0,4.0,남평N-CITY,전세,55.7382,202506,"15,000",9.0,2016.0,중앙대로308번길 7-7,202507~202707,아파트,부산광역시 동구 초량동 중앙대로308번길 7-7,190000000,129200000,35.1242565721037,129.045620629208
5220,부산광역시 부산진구 연지동,192-9,192.0,9.0,연지동삼정그린코아,전세,72.4503,202506,"25,000",11.0,2016.0,동평로235번길 19,202508~202708,아파트,부산광역시 부산진구 연지동 동평로235번길 19,370000000,251600000,35.1705153417721,129.052223600142
5227,부산광역시 서구 암남동,614-5,614.0,5.0,송도타워맨션,전세,47.4,202506,"7,000",4.0,1995.0,송도해변로 33,202506~202706,아파트,부산광역시 서구 암남동 송도해변로 33,300000000,204000000,35.0723097437023,129.016475618763
5235,부산광역시 동래구 안락동,465-1,465.0,1.0,한우,전세,58.53,202506,"14,000",4.0,1983.0,충렬대로457번길 72,202506~202706,아파트,부산광역시 동래구 안락동 충렬대로457번길 72,95000000,64600000,35.1985091619307,129.109642254355
5244,부산광역시 영도구 동삼동,1124-2,1124.0,2.0,반도보라비치타운,전세,134.31,202506,"21,000",3.0,1994.0,함지로 19,202507~202707,아파트,부산광역시 영도구 동삼동 함지로 19,169000000,114920000,35.0718028893525,129.060358052407
5257,부산광역시 동구 좌천동,187-5,187.0,5.0,선경뉴빌,전세,46.33,202506,"8,500",4.0,2013.0,자성로8번길 12,202507~202707,아파트,부산광역시 동구 좌천동 자성로8번길 12,125000000,85000000,35.132838931761,129.054121082946
5260,부산광역시 동래구 명장동,1월 22일,22.0,1.0,명장경동,전세,81.44,202506,"19,000",8.0,1992.0,명서로 182,202508~202708,아파트,부산광역시 동래구 명장동 명서로 182,323000000,219640000,35.2070824492915,129.101808154632
5265,부산광역시 동구 범일동,8월 26일,26.0,8.0,서면베스티움더시티,전세,48.0,202506,"18,000",15.0,2021.0,중앙대로 539,202508~202708,아파트,부산광역시 동구 범일동 중앙대로 539,210000000,142800000,35.1412846787083,129.05603742341
5276,부산광역시 영도구 남항동1가,1,1.0,0.0,정림위더스하임,전세,72.7666,202506,"20,000",9.0,2018.0,남항서로 123,202502~202702,아파트,부산광역시 영도구 남항동1가 남항서로 123,343000000,233240000,35.0914079691461,129.03730631478
5282,부산광역시 부산진구 부암동,304-1,304.0,1.0,마제스타워서면,전세,84.99,202506,"26,000",32.0,2008.0,동평로 197,202509~202708,아파트,부산광역시 부산진구 부암동 동평로 197,290000000,197200000,35.1684551662121,129.049666122982
5301,부산광역시 남구 용호동,368-17,368.0,17.0,분포맨션(나),전세,63.72,202506,"14,000",1.0,1984.0,용호로109번길 10,202506~202706,아파트,부산광역시 남구 용호동 용호로109번길 10,232000000,157760000,35.1219605295569,129.112692965841
5310,부산광역시 남구 대연동,282-1,282.0,1.0,대연극동StarClass,전세,84.93,202506,"21,000",10.0,2002.0,진남로36번길 50,202509~202709,아파트,부산광역시 남구 대연동 진남로36번길 50,298000000,202640000,35.1404856640204,129.091580048894
5313,부산광역시 남구 대연동,1272-2,1272.0,2.0,동원로얄듀크,전세,84.9809,202506,"31,000",1.0,2005.0,못골로41번길 13,202509~202709,아파트,부산광역시 남구 대연동 못골로41번길 13,680000000,462400000,35.1358161193851,129.086334064016
5315,부산광역시 남구 우암동,Feb.49,49.0,2.0,우암자유3,전세,57.06,202506,"13,000",22.0,1994.0,우암로 142,202507~202707,아파트,부산광역시 남구 우암동 우암로 142,260000000,176800000,35.1236692993283,129.080537319844
5335,부산광역시 수영구 민락동,782,782.0,0.0,e편한세상오션테라스4단지,전세,114.98,202506,"62,000",5.0,2020.0,광안해변로326번길 31,202509~202709,아파트,부산광역시 수영구 민락동 광안해변로326번길 31,1050000000,714000000,35.1553352497739,129.129629375194
5348,부산광역시 금정구 구서동,1025,1025.0,0.0,일신,전세,84.75,202506,"16,000",4.0,1990.0,두실로45번길 102,202508~202708,아파트,부산광역시 금정구 구서동 두실로45번길 102,210000000,142800000,35.2575092544354,129.085678875477
5353,부산광역시 금정구 부곡동,783,783.0,0.0,무지개타운,전세,54.36,202506,"14,000",4.0,1986.0,부곡로42번길 33,202507~202707,아파트,부산광역시 금정구 부곡동 부곡로42번길 33,170000000,115600000,35.2196992859735,129.090119227879
5370,부산광역시 사하구 장림동,1153,1153.0,0.0,장림역베스티움2차,전세,84.9894,202506,"25,000",26.0,2020.0,장림번영로 76,202508~202708,아파트,부산광역시 사하구 장림동 장림번영로 76,340000000,231200000,35.080388157739,128.973635234117
5378,부산광역시 사하구 괴정동,619-16,619.0,16.0,괴정경동메르빌,전세,84.986,202506,"16,000",10.0,2006.0,괴정로244번길 57,202507~202707,아파트,부산광역시 사하구 괴정동 괴정로244번길 57,180000000,122400000,35.0939401402417,128.987048463561
5401,부산광역시 북구 화명동,732,732.0,0.0,삼한힐파크,전세,84.994,202506,"20,000",5.0,2003.0,화명대로 119,202508~202708,아파트,부산광역시 북구 화명동 화명대로 119,265000000,180200000,35.2355961916313,129.019849258614
5408,부산광역시 해운대구 반송동,888,888.0,0.0,삼한그린타운1,전세,84.87,202506,"15,500",10.0,1995.0,신반송로 171,202507~202707,아파트,부산광역시 해운대구 반송동 신반송로 171,200000000,136000000,35.2283608986228,129.161220489965
5410,부산광역시 북구 덕천동,382-1,382.0,1.0,부국3,전세,59.65,202506,"12,000",3.0,1982.0,금곡대로8번길 64,202507~202707,아파트,부산광역시 북구 덕천동 금곡대로8번길 64,280000000,190400000,35.2114247910067,129.008527081621
5414,부산광역시 동래구 온천동,210-16,210.0,16.0,케이에이치마이우스,전세,23.99,202506,"9,900",14.0,2016.0,금강공원로 27,202507~202707,아파트,부산광역시 동래구 온천동 금강공원로 27,100000000,68000000,35.218807495092,129.081462070294
5436,부산광역시 부산진구 개금동,618-2,618.0,2.0,개금아이파크,전세,84.99,202506,"25,000",12.0,2002.0,복지로 70,202506~202706,아파트,부산광역시 부산진구 개금동 복지로 70,283000000,192440000,35.1474573442981,129.019633646689
5457,부산광역시 동래구 명장동,산62-8,62.0,8.0,개나리,전세,49.41,202506,"6,000",2.0,1989.0,옥봉로14번길 11,202507~202707,아파트,부산광역시 동래구 명장동 옥봉로14번길 11,90000000,61200000,35.2101025174347,129.107054945781
5485,부산광역시 기장군 정관읍 달산리,141-3,141.0,3.0,대우아파트,전세,49.86,202506,"7,500",5.0,1994.0,정관로 750-8,202507~202707,아파트,부산광역시 기장군 정관읍 달산리 정관로 750-8,93000000,63240000,35.321715810277,129.195078484906
5498,부산광역시 수영구 광안동,744-12,744.0,12.0,이린타워,전세,36.62,202506,"10,000",2.0,2016.0,수영로575번길 11,202507~202707,아파트,부산광역시 수영구 광안동 수영로575번길 11,202000000,137360000,35.1571696663479,129.11229750166
5528,부산광역시 사하구 하단동,618-1,618.0,1.0,헤리츠리더스하단,전세,69.5064,202506,"30,500",13.0,2021.0,낙동대로457번길 5,202506~202706,아파트,부산광역시 사하구 하단동 낙동대로457번길 5,285000000,193800000,35.1052403926508,128.968580641415
5548,부산광역시 부산진구 부암동,739,739.0,0.0,서면동일파크스위트2차,전세,69.3315,202506,"28,000",3.0,2017.0,동평로 128,202508~202708,아파트,부산광역시 부산진구 부암동 동평로 128,382500000,260100000,35.1649422614997,129.043154522005
5560,부산광역시 영도구 청학동,537,537.0,0.0,청학우성스마트시티뷰,전세,65.9789,202506,"25,000",26.0,2022.0,태종로 405,202506~202706,아파트,부산광역시 영도구 청학동 태종로 405,314000000,213520000,35.0913955184756,129.066473211771
5563,부산광역시 서구 서대신동2가,576,576.0,0.0,대신해모로센트럴아파트,전세,84.9442,202506,"43,000",21.0,2022.0,대티로 178,202509~202709,아파트,부산광역시 서구 서대신동2가 대티로 178,405000000,275400000,35.1113590671005,129.011559245152
5571,부산광역시 동래구 수안동,10월 1일,10.0,1.0,수안,전세,50.68,202506,"7,000",1.0,1976.0,명륜로45번길 31,202506~202706,아파트,부산광역시 동래구 수안동 명륜로45번길 31,190000000,129200000,35.1985019584767,129.082356959043
5575,부산광역시 영도구 동삼동,510-34,510.0,34.0,동삼동한진로즈힐,전세,59.9793,202506,"16,000",16.0,2004.0,와치로 294,202508~202708,아파트,부산광역시 영도구 동삼동 와치로 294,187000000,127160000,35.0734554238004,129.071186017475
5593,부산광역시 부산진구 개금동,1월 9일,1.0,9.0,개금우드빌(1-9),전세,56.88,202506,"11,000",7.0,1994.0,백양관문로77번길 56,202507~202707,아파트,부산광역시 부산진구 개금동 백양관문로77번길 56,100000000,68000000,35.1633718642252,129.027160705599
5631,부산광역시 동래구 온천동,1242-1,1242.0,1.0,성도뷰크,전세,49.2349,202506,"12,600",4.0,2004.0,아시아드대로231번길 91,202508~202708,아파트,부산광역시 동래구 온천동 아시아드대로231번길 91,260000000,176800000,35.2063983574316,129.062893710612
5641,부산광역시 해운대구 우동,1553,1553.0,0.0,해운대센텀미진이지비아아파트,전세,84.9971,202506,"43,000",3.0,2020.0,해운대로394번길 17,202507~202707,아파트,부산광역시 해운대구 우동 해운대로394번길 17,630000000,428400000,35.1667701345469,129.138840488989
5651,부산광역시 북구 덕천동,372-1,372.0,1.0,부영벽산파라빌,전세,84.7222,202506,"22,000",1.0,2005.0,만덕대로155번길 14,202509~202709,아파트,부산광역시 북구 덕천동 만덕대로155번길 14,260000000,176800000,35.2138958764613,129.021980780882
5682,부산광역시 연제구 연산동,1361-7,1361.0,7.0,부산더샵시티애비뉴,전세,59.99,202506,"30,000",14.0,2015.0,시청로 6,202508~202708,아파트,부산광역시 연제구 연산동 시청로 6,610000000,414800000,35.180766388917,129.076410134254
5683,부산광역시 연제구 연산동,1866-2,1866.0,2.0,아이유파크(IU-PARK),전세,66.322,202506,"23,000",23.0,2017.0,연수로 179,202508~202708,아파트,부산광역시 연제구 연산동 연수로 179,285000000,193800000,35.1745300633457,129.090542542276
5696,부산광역시 사하구 장림동,599-27,599.0,27.0,장림윌더하임,전세,84.9795,202506,"14,000",1.0,2005.0,장평로 119,202508~202708,아파트,부산광역시 사하구 장림동 장평로 119,163000000,110840000,35.0767453842376,128.972028535435
5720,부산광역시 금정구 구서동,1006-2,1006.0,2.0,선경3,전세,84.82,202506,"19,500",9.0,1989.0,금샘로420번길 13,202508~202705,아파트,부산광역시 금정구 구서동 금샘로420번길 13,300000000,204000000,35.2614322217276,129.084804998271
5739,부산광역시 사하구 신평동,7,7.0,0.0,신평삼익아파트,전세,54.33,202506,"6,500",5.0,1989.0,장평로 311,202506~202706,아파트,부산광역시 사하구 신평동 장평로 311,101500000,69020000,35.0940000071703,128.974009012869
5741,부산광역시 사하구 다대동,1550,1550.0,0.0,몰운대,전세,49.08,202506,"7,500",14.0,1996.0,다대낙조2길 14,202507~202707,아파트,부산광역시 사하구 다대동 다대낙조2길 14,80000000,54400000,35.0523269695306,128.968562851088
5745,부산광역시 사하구 괴정동,1064-1,1064.0,1.0,괴정자유2차,전세,84.87,202506,"10,000",1.0,1997.0,승학로233번길 50,202507~202707,아파트,부산광역시 사하구 괴정동 승학로233번길 50,154000000,104720000,35.1030357751576,128.99053082063
5749,부산광역시 해운대구 좌동,1448,1448.0,0.0,경남선경,전세,59.85,202506,"19,000",16.0,1996.0,청사포로 27,202507~202707,아파트,부산광역시 해운대구 좌동 청사포로 27,272000000,184960000,35.1665220867177,129.18642275724
5820,부산광역시 영도구 동삼동,510-27,510.0,27.0,벽산비치,전세,85.87,202506,"16,000",4.0,1995.0,와치로 266,202506~202706,아파트,부산광역시 영도구 동삼동 와치로 266,188000000,127840000,35.0754307334395,129.069474367541
5824,부산광역시 동래구 안락동,1240,1240.0,0.0,안락뜨란채1단지,전세,74.65,202506,"25,000",9.0,2005.0,연안로 71,202508~202708,아파트,부산광역시 동래구 안락동 연안로 71,402000000,273360000,35.194764418105,129.107600332947
5850,부산광역시 기장군 기장읍 교리,160-2,160.0,2.0,리츠빌리지,전세,77.1024,202506,"13,500",4.0,2014.0,차성로365번길 63,202506~202507,아파트,부산광역시 기장군 기장읍 교리 차성로365번길 63,180000000,122400000,35.2559507431778,129.212333671126
5855,부산광역시 수영구 남천동,Feb.41,41.0,2.0,소라맨션,전세,64.89,202506,"13,500",4.0,1979.0,수영로487번길 20,202507~202707,아파트,부산광역시 수영구 남천동 수영로487번길 20,210000000,142800000,35.1498350358253,129.109933130973
5869,부산광역시 사상구 덕포동,761-1,761.0,1.0,자유,전세,46.2,202506,"8,500",9.0,1989.0,백양대로 820,202507~202707,아파트,부산광역시 사상구 덕포동 백양대로 820,76000000,51680000,35.1800236911017,128.988750208023
5906,부산광역시 해운대구 중동,1369-8,1369.0,8.0,쌍용더플래티넘해운대,전세,84.703,202506,"30,000",12.0,2022.0,중동2로24번길 24,202508~202708,아파트,부산광역시 해운대구 중동 중동2로24번길 24,620000000,421600000,35.1639261039813,129.165163060169
5934,부산광역시 금정구 청룡동,350,350.0,0.0,경동,전세,84.62,202506,"19,000",16.0,1997.0,청룡예전로 74,202508~202708,아파트,부산광역시 금정구 청룡동 청룡예전로 74,170000000,115600000,35.2810265578512,129.086190756635
5965,부산광역시 부산진구 개금동,165-2,165.0,2.0,개금역대상웰리움,전세,84.9965,202506,"24,000",6.0,2017.0,가야대로498번길 14,202507~202707,아파트,부산광역시 부산진구 개금동 가야대로498번길 14,185000000,125800000,35.1524578679999,129.02610730878
5973,부산광역시 부산진구 당감동,495-9,495.0,9.0,"무궁화아파트101동,102동,103동,105동,106동",전세,58.0,202506,"8,000",2.0,1981.0,당감로17번길 90,202507~202707,아파트,부산광역시 부산진구 당감동 당감로17번길 90,190000000,129200000,35.1631198637803,129.035473803237
5979,부산광역시 서구 서대신동2가,570,570.0,0.0,대신푸르지오2차,전세,98.6543,202506,"42,000",18.0,2021.0,고운들로 181,202507~202707,아파트,부산광역시 서구 서대신동2가 고운들로 181,769500000,523260000,35.1084567309889,129.013588861488
5980,부산광역시 서구 부용동1가,Jan.61,61.0,1.0,선경아파트,전세,45.9711,202506,"16,000",7.0,2024.0,구덕로238번길 3,202507~202707,아파트,부산광역시 서구 부용동1가 구덕로238번길 3,273650000,186082000,35.105970855851,129.020474540846
6013,부산광역시 부산진구 연지동,179-1,179.0,1.0,봉황,전세,69.93,202506,"12,000",5.0,1986.0,동평로223번길 50,202507~202707,아파트,부산광역시 부산진구 연지동 동평로223번길 50,210000000,142800000,35.1712986669603,129.050519359692
6019,부산광역시 부산진구 가야동,35,35.0,0.0,가야동그린시티,전세,66.741,202506,"18,000",12.0,2019.0,가야대로679번길 61,202508~202708,아파트,부산광역시 부산진구 가야동 가야대로679번길 61,300000000,204000000,35.1566448310393,129.043413525992
6036,부산광역시 해운대구 우동,887-1,887.0,1.0,해운대한솔솔파크,전세,84.8773,202506,"30,000",31.0,2006.0,해운대로 564,202508~202708,아파트,부산광역시 해운대구 우동 해운대로 564,348000000,236640000,35.1604567146159,129.15367645367
6042,부산광역시 남구 대연동,255-1,255.0,1.0,장백장미타워1,전세,59.94,202506,"12,500",11.0,1996.0,황령대로319번길 120,202510~202710,아파트,부산광역시 남구 대연동 황령대로319번길 120,160000000,108800000,35.1490070056331,129.091256816267
6052,부산광역시 사상구 주례동,316,316.0,0.0,대성,전세,54.32,202506,"11,000",2.0,1988.0,양지로 3,202507~202707,아파트,부산광역시 사상구 주례동 양지로 3,160000000,108800000,35.1529714248882,129.004766175431
6095,부산광역시 수영구 남천동,10월 2일,10.0,2.0,금양아이파크,전세,64.5347,202506,"18,000",8.0,2017.0,남천동로9번길 38,202508~202708,아파트,부산광역시 수영구 남천동 남천동로9번길 38,310000000,210800000,35.1441830904505,129.110817485788
6122,부산광역시 사하구 하단동,277-2,277.0,2.0,한신혜성,전세,59.91,202506,"12,000",24.0,1996.0,동매로 120,202507~202707,아파트,부산광역시 사하구 하단동 동매로 120,125000000,85000000,35.1012889287059,128.971520894865
6125,부산광역시 금정구 부곡동,396-2,396.0,2.0,온천리젠시타워아파트,전세,51.502,202506,"13,600",9.0,2015.0,부곡로 28,202507~202707,아파트,부산광역시 금정구 부곡동 부곡로 28,164000000,111520000,35.2192982212477,129.088008229693
6130,부산광역시 사하구 당리동,Apr.33,33.0,4.0,당리동신동아(33-4),전세,59.81,202506,"7,000",2.0,1996.0,제석로95번길 22-3,202508~202708,아파트,부산광역시 사하구 당리동 제석로95번길 22-3,88000000,59840000,35.1099493692213,128.977701168637
6148,부산광역시 금정구 남산동,115-30,115.0,30.0,럭키남산,전세,83.52,202506,"20,000",14.0,1991.0,남산로37번길 52,202508~202707,아파트,부산광역시 금정구 남산동 남산로37번길 52,200000000,136000000,35.2645426115052,129.086038264481
6157,부산광역시 해운대구 좌동,1492,1492.0,0.0,해운대케이씨씨스위첸,전세,128.16,202506,"68,000",8.0,2011.0,세실로 80,202509~202709,아파트,부산광역시 해운대구 좌동 세실로 80,1160000000,788800000,35.1729422814449,129.177995097134
6202,부산광역시 동래구 사직동,146-8,146.0,8.0,신사직,전세,48.76,202506,"9,000",5.0,1976.0,여고로135번길 27,202507~202707,아파트,부산광역시 동래구 사직동 여고로135번길 27,320000000,217600000,35.1999940090596,129.076465481892
6219,부산광역시 남구 감만동,3월 31일,31.0,3.0,우암자유5,전세,38.45,202506,"11,000",2.0,1996.0,양지골로 358,202507~202707,아파트,부산광역시 남구 감만동 양지골로 358,146000000,99280000,35.1228450882339,129.08577892971
6224,부산광역시 부산진구 개금동,171-49,171.0,49.0,유창아이리치,전세,29.9971,202506,"11,000",3.0,2019.0,냉정로 223,202507~202707,아파트,부산광역시 부산진구 개금동 냉정로 223,212000000,144160000,35.1513100718605,129.024149486618
6228,부산광역시 부산진구 당감동,791,791.0,0.0,국제백양,전세,59.9325,202506,"9,000",1.0,1995.0,백양관문로 104,202507~202707,아파트,부산광역시 부산진구 당감동 백양관문로 104,166000000,112880000,35.1680304177471,129.029180210707
6237,부산광역시 동구 초량동,1160-1,1160.0,1.0,지원더뷰오션2차,전세,84.4986,202506,"35,000",33.0,2019.0,중앙대로296번길 7-10,202507~202707,아파트,부산광역시 동구 초량동 중앙대로296번길 7-10,465000000,316200000,35.1230249802826,129.045447674133
6312,부산광역시 수영구 광안동,143-1,143.0,1.0,성원상떼빌,전세,124.097,202506,"24,500",17.0,2007.0,수영로582번길 10,202506~202706,아파트,부산광역시 수영구 광안동 수영로582번길 10,220000000,149600000,35.1574319393608,129.113586571518
6389,부산광역시 북구 구포동,1296,1296.0,0.0,구포동원로얄듀크비스타,전세,84.9869,202506,"28,000",24.0,2014.0,낙동대로1738번길 10,202509~202708,아파트,부산광역시 북구 구포동 낙동대로1738번길 10,495000000,336600000,35.2080229910109,128.99883167146
6415,부산광역시 해운대구 재송동,1160-12,1160.0,12.0,센텀글로리아,전세,74.1,202506,"9,000",2.0,1989.0,재송2로74번길 31,202507~202707,아파트,부산광역시 해운대구 재송동 재송2로74번길 31,106000000,72080000,35.1906400751576,129.132640582608
6424,부산광역시 동래구 온천동,456-29,456.0,29.0,신화타워,전세,59.79,202506,"17,000",10.0,1999.0,온천장로 20,202509~202709,아파트,부산광역시 동래구 온천동 온천장로 20,288000000,195840000,35.2139908304623,129.079533969472
6425,부산광역시 동래구 온천동,1432-1,1432.0,1.0,원타워,전세,84.95,202506,"21,000",7.0,1995.0,중앙대로1335번길 63,202508~202708,아파트,부산광역시 동래구 온천동 중앙대로1335번길 63,230000000,156400000,35.207447113358,129.073983164367
6426,부산광역시 동래구 온천동,Jun.46,46.0,6.0,성완아이렉스,전세,29.4227,202506,"6,390",15.0,2003.0,금강로 160-1,202506~202706,아파트,부산광역시 동래구 온천동 금강로 160-1,70000000,47600000,35.2225929282981,129.081741279811
6429,부산광역시 남구 대연동,327-5,327.0,5.0,대연백리명가에덴,전세,46.9,202506,"19,500",3.0,2022.0,수영로 260,202507~202707,아파트,부산광역시 남구 대연동 수영로 260,338200000,229976000,35.1350761503587,129.095279449736
6438,부산광역시 금정구 구서동,165-1,165.0,1.0,구서신동아,전세,84.81,202506,"21,000",18.0,1997.0,중앙대로1929번길 48-1,202507~202707,아파트,부산광역시 금정구 구서동 중앙대로1929번길 48-1,185000000,125800000,35.2566405344615,129.088186863389
6445,부산광역시 금정구 장전동,205-2,205.0,2.0,우남이채롬,전세,79.61,202506,"22,000",4.0,2005.0,금정로 161,202509~202709,아파트,부산광역시 금정구 장전동 금정로 161,345000000,234600000,35.2393541316324,129.087644301466
6446,부산광역시 사하구 장림동,60-20,60.0,20.0,장림삼경아파트,전세,113.73,202506,"9,000",1.0,1993.0,다대로277번길 141,202507~202707,아파트,부산광역시 사하구 장림동 다대로277번길 141,89000000,60520000,35.0769514166666,128.982580602208
6490,부산광역시 영도구 청학동,85,85.0,0.0,일신마리나,전세,84.9,202506,"8,000",14.0,1994.0,조내기로 33,202507~202707,아파트,부산광역시 영도구 청학동 조내기로 33,150000000,102000000,35.0869066625643,129.063036793119
6524,부산광역시 북구 만덕동,774,774.0,0.0,럭키,전세,79.195,202506,"11,500",8.0,1991.0,덕천로 194,202507~202707,아파트,부산광역시 북구 만덕동 덕천로 194,160000000,108800000,35.2079235626477,129.028112471704
6556,부산광역시 사하구 당리동,353-22,353.0,22.0,당리에덴동산타운,전세,51.48,202506,"8,000",4.0,1989.0,승학로131번길 39,202507~202707,아파트,부산광역시 사하구 당리동 승학로131번길 39,73000000,49640000,35.1051472093201,128.982578000911
6571,부산광역시 해운대구 좌동,1375,1375.0,0.0,경남,전세,101.94,202506,"33,000",13.0,1997.0,좌동순환로99번길 22,202508~202708,아파트,부산광역시 해운대구 좌동 좌동순환로99번길 22,300000000,204000000,35.1773532230785,129.166883113235
6600,부산광역시 북구 만덕동,290-1,290.0,1.0,삼성,전세,82.2,202506,"17,000",13.0,1989.0,만덕2로 10,202509~202708,아파트,부산광역시 북구 만덕동 만덕2로 10,180000000,122400000,35.2109245971145,129.036768960273
6618,부산광역시 남구 용당동,Oct.99,99.0,10.0,현대아이파크,전세,59.9358,202506,"16,000",9.0,2002.0,동명로 26,202508~202708,아파트,부산광역시 남구 용당동 동명로 26,222000000,150960000,35.1188513502072,129.099520316067
6620,부산광역시 동래구 온천동,182-9,182.0,9.0,이안동래센트럴시티,전세,62.3714,202506,"28,000",10.0,2023.0,온천장로65번길 10,202509~202709,아파트,부산광역시 동래구 온천동 온천장로65번길 10,463000000,314840000,35.2177935638875,129.081836762857
6628,부산광역시 해운대구 우동,763,763.0,0.0,해운대경동제이드,전세,163.3194,202506,"125,000",18.0,2012.0,해운대해변로 197,202507~202707,아파트,부산광역시 해운대구 우동 해운대해변로 197,2350000000,1598000000,35.158802549379,129.152836637292
6644,부산광역시 부산진구 당감동,175-2,175.0,2.0,삼익아파트,전세,44.76,202506,"9,000",5.0,1978.0,당감로 17,202507~202707,아파트,부산광역시 부산진구 당감동 당감로 17,375000000,255000000,35.1619817959221,129.039811080995
6652,부산광역시 동구 초량동,1166-1,1166.0,1.0,센트럴베이동원로얄듀크비스타,전세,84.6,202506,"23,100",26.0,2011.0,중앙대로286번길 10,202508~202708,아파트,부산광역시 동구 초량동 중앙대로286번길 10,363000000,246840000,35.1213977977104,129.044734083364
6677,부산광역시 부산진구 개금동,796,796.0,0.0,개금롯데캐슬,전세,84.9542,202506,"32,000",14.0,2010.0,개금온정로 10,202509~202710,아파트,부산광역시 부산진구 개금동 개금온정로 10,405000000,275400000,35.1548022955911,129.027322196214
6686,부산광역시 부산진구 개금동,875,875.0,0.0,개금역금강펜테리움더스퀘어아파트,전세,84.327,202506,"41,000",6.0,2018.0,가야대로 450,202507~202707,아파트,부산광역시 부산진구 개금동 가야대로 450,618000000,420240000,35.1528383260911,129.021227204738
6687,부산광역시 동래구 낙민동,186-13,186.0,13.0,제일아파트,전세,84.87,202506,"23,500",15.0,1995.0,낙민로 14,202507~202707,아파트,부산광역시 동래구 낙민동 낙민로 14,210000000,142800000,35.1991493586831,129.089394919423
6693,부산광역시 부산진구 가야동,128-1,128.0,1.0,가야동원로얄듀크,전세,84.9889,202506,"33,000",9.0,2013.0,가야대로 531,202509~202709,아파트,부산광역시 부산진구 가야동 가야대로 531,412000000,280160000,35.1540473007319,129.030183984771
