NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
87,부산광역시 수영구 민락동,108-1,108,1,센텀비치푸르지오,전세,150.8,202508,13,"41,000",0,19,2003,광안해변로 418,202509~202709,신규,-,,,아파트,,,,부산광역시 수영구 민락동 광안해변로 418,56000
93,부산광역시 연제구 연산동,21.Apr,2121,4,배산프라임타워,전세,46.75,202508,13,"16,500",0,8,2018,배산로 34,202508~202612,신규,-,,,아파트,,,,부산광역시 연제구 연산동 배산로 34,21000
94,부산광역시 연제구 연산동,2341,2341,0,연제롯데캐슬데시앙,전세,84.83,202508,13,"36,000",0,30,2018,월드컵대로 55,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 월드컵대로 55,67800
95,부산광역시 사상구 엄궁동,683-3,683,3,엄궁2차한신,전세,73.2,202508,13,"14,000",0,3,1999,엄궁로 40,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 엄궁동 엄궁로 40,15500
100,부산광역시 사상구 괘법동,984,984,0,센트럴스타힐스,전세,59.9926,202508,12,"27,000",0,19,2022,사상로223번길 23,202510~202710,신규,-,,,아파트,,,,부산광역시 사상구 괘법동 사상로223번길 23,40500
102,부산광역시 사상구 괘법동,545-4,545,4,네오리더스사상,전세,34.24,202508,12,"12,500",0,15,2019,광장로87번길 17,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 괘법동 광장로87번길 17,15000
109,부산광역시 수영구 수영동,541,541,0,현대,전세,68.76,202508,12,"15,000",0,8,1988,수영로741번길 20,202510~202710,신규,-,,,아파트,,,,부산광역시 수영구 수영동 수영로741번길 20,83000
113,부산광역시 연제구 거제동,212-1,212,1,화신거림(212-1),전세,71.11,202508,12,"8,000",0,4,1978,교대로24번길 68,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 거제동 교대로24번길 68,27000
115,부산광역시 사상구 주례동,1289,1289,0,주례롯데캐슬골드스마트,전세,39.7243,202508,12,"16,000",0,7,2022,가야대로255번길 5,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 주례동 가야대로255번길 5,54000
121,부산광역시 기장군 정관읍 방곡리,378,378,0,부산정관지구이지더원5차아파트,전세,68.414,202508,12,"20,000",0,15,2015,방곡로 29,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 방곡리 방곡로 29,22000
122,부산광역시 사상구 덕포동,795,795,0,사상중흥에스-클래스그랜드센트럴,전세,59.9491,202508,12,"30,000",0,5,2023,사상로 300,202509~202709,신규,-,,,아파트,,,,부산광역시 사상구 덕포동 사상로 300,66500
129,부산광역시 남구 용당동,564-3,564,3,한신문화타운,전세,198.92,202508,12,"23,000",0,14,1990,유엔평화로 152-2,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 용당동 유엔평화로 152-2,33000
135,부산광역시 동래구 사직동,1039,1039,0,사직역삼정그린코아더베스트1차,전세,84.9587,202508,12,"43,000",0,15,2016,사직로 8,202511~202711,신규,-,,,아파트,,,,부산광역시 동래구 사직동 사직로 8,80000
136,부산광역시 동래구 사직동,1058,1058,0,쌍용더플래티넘사직아시아드아파트,전세,84.5907,202508,12,"60,000",0,16,2020,아시아드대로134번길 14,202601~202801,신규,-,,,아파트,,,,부산광역시 동래구 사직동 아시아드대로134번길 14,101500
