NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
102,부산광역시 사상구 괘법동,545-4,545.0,4.0,네오리더스사상,전세,34.24,202508,"12,500",15.0,2019.0,광장로87번길 17,202509~202709,아파트,부산광역시 사상구 괘법동 광장로87번길 17,15000
109,부산광역시 수영구 수영동,541,541.0,0.0,현대,전세,68.76,202508,"15,000",8.0,1988.0,수영로741번길 20,202510~202710,아파트,부산광역시 수영구 수영동 수영로741번길 20,83000
113,부산광역시 연제구 거제동,212-1,212.0,1.0,화신거림(212-1),전세,71.11,202508,"8,000",4.0,1978.0,교대로24번길 68,202509~202709,아파트,부산광역시 연제구 거제동 교대로24번길 68,27000
115,부산광역시 사상구 주례동,1289,1289.0,0.0,주례롯데캐슬골드스마트,전세,39.7243,202508,"16,000",7.0,2022.0,가야대로255번길 5,202509~202709,아파트,부산광역시 사상구 주례동 가야대로255번길 5,54000
121,부산광역시 기장군 정관읍 방곡리,378,378.0,0.0,부산정관지구이지더원5차아파트,전세,68.414,202508,"20,000",15.0,2015.0,방곡로 29,202510~202710,아파트,부산광역시 기장군 정관읍 방곡리 방곡로 29,22000
122,부산광역시 사상구 덕포동,795,795.0,0.0,사상중흥에스-클래스그랜드센트럴,전세,59.9491,202508,"30,000",5.0,2023.0,사상로 300,202509~202709,아파트,부산광역시 사상구 덕포동 사상로 300,66500
129,부산광역시 남구 용당동,564-3,564.0,3.0,한신문화타운,전세,198.92,202508,"23,000",14.0,1990.0,유엔평화로 152-2,202508~202708,아파트,부산광역시 남구 용당동 유엔평화로 152-2,33000
135,부산광역시 동래구 사직동,1039,1039.0,0.0,사직역삼정그린코아더베스트1차,전세,84.9587,202508,"43,000",15.0,2016.0,사직로 8,202511~202711,아파트,부산광역시 동래구 사직동 사직로 8,80000
136,부산광역시 동래구 사직동,1058,1058.0,0.0,쌍용더플래티넘사직아시아드아파트,전세,84.5907,202508,"60,000",16.0,2020.0,아시아드대로134번길 14,202601~202801,아파트,부산광역시 동래구 사직동 아시아드대로134번길 14,101500
137,부산광역시 남구 용호동,944,944.0,0.0,오륙도에스케이뷰,전세,84.9636,202508,"30,000",37.0,2008.0,오륙도로 85,202510~202710,아파트,부산광역시 남구 용호동 오륙도로 85,56000
140,부산광역시 남구 대연동,1893,1893.0,0.0,대연파크푸르지오,전세,59.8743,202508,"32,000",24.0,2018.0,홍곡로 360,202510~202710,아파트,부산광역시 남구 대연동 홍곡로 360,56300
146,부산광역시 해운대구 좌동,1386,1386.0,0.0,롯데2,전세,59.76,202508,"15,000",10.0,1998.0,좌동순환로 117,202510~202709,아파트,부산광역시 해운대구 좌동 좌동순환로 117,32300
148,부산광역시 강서구 명지동,3231,3231.0,0.0,퀸덤1차링컨타운,전세,101.86,202508,"30,000",6.0,2009.0,명지오션시티10로 16,202509~202708,아파트,부산광역시 강서구 명지동 명지오션시티10로 16,37000
149,부산광역시 강서구 명지동,3399,3399.0,0.0,명지더웨스턴,전세,74.62,202508,"23,000",8.0,2018.0,명지국제7로 111,202509~202709,아파트,부산광역시 강서구 명지동 명지국제7로 111,38500
151,부산광역시 해운대구 좌동,1439,1439.0,0.0,벽산2,전세,59.73,202508,"19,500",22.0,1996.0,좌동순환로299번길 11,202509~202709,아파트,부산광역시 해운대구 좌동 좌동순환로299번길 11,49500
152,부산광역시 해운대구 좌동,1323,1323.0,0.0,한라,전세,134.97,202508,"39,000",7.0,1996.0,좌동순환로 280,202510~202710,아파트,부산광역시 해운대구 좌동 좌동순환로 280,36700
156,부산광역시 부산진구 전포동,587,587.0,0.0,서면롯데캐슬스카이,전세,84.8167,202508,"30,000",14.0,2004.0,전포대로275번길 20,202510~202710,아파트,부산광역시 부산진구 전포동 전포대로275번길 20,15000
160,부산광역시 부산진구 초읍동,271-4,271.0,4.0,선경,전세,103.49,202508,"20,000",12.0,1982.0,새싹로 221,202509~202709,아파트,부산광역시 부산진구 초읍동 새싹로 221,48000
