NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
11599,부산광역시 동구 초량동,1056-10,1056.0,10.0,오션스타,전세,71.49,202505,"15,000",11.0,2017.0,초량중로 25,202506~202706,아파트,부산광역시 동구 초량동 초량중로 25,24000
11601,부산광역시 부산진구 부전동,417-6,417.0,6.0,대동레미안더오션2,전세,31.02,202505,"11,000",10.0,2017.0,가야대로755번길 26,202505~202705,아파트,부산광역시 부산진구 부전동 가야대로755번길 26,21000
11608,부산광역시 부산진구 연지동,175-6,175.0,6.0,연지보해이브더파크,전세,50.0998,202505,"9,000",22.0,2020.0,동평로225번길 14,202506~202706,아파트,부산광역시 부산진구 연지동 동평로225번길 14,29000
11611,부산광역시 동래구 안락동,598,598.0,0.0,동부산아이존빌,전세,84.4145,202505,"25,000",12.0,2003.0,충렬대로428번길 49,202506~202706,아파트,부산광역시 동래구 안락동 충렬대로428번길 49,36500
11629,부산광역시 부산진구 가야동,361-85,361.0,85.0,가야삼정그린코아,전세,84.9,202505,"10,000",12.0,2000.0,엄광로238번길 5,202505~202705,아파트,부산광역시 부산진구 가야동 엄광로238번길 5,19000
11635,부산광역시 영도구 동삼동,1203,1203.0,0.0,오션라이프에일린의뜰2단지,전세,74.9696,202505,"28,000",3.0,2024.0,태종로 675,202505~202705,아파트,부산광역시 영도구 동삼동 태종로 675,48000
11637,부산광역시 동래구 명장동,290-2,290.0,2.0,삼보(290-2),전세,47.7,202505,"9,000",5.0,1986.0,시실로 202,202501~202701,아파트,부산광역시 동래구 명장동 시실로 202,14000
11640,부산광역시 부산진구 범천동,859-16,859.0,16.0,세운이노빌,전세,29.58,202505,"5,000",12.0,2003.0,황령대로 23,202505~202705,아파트,부산광역시 부산진구 범천동 황령대로 23,4800
11655,부산광역시 영도구 남항동1가,159,159.0,0.0,뉴스카이,전세,84.92,202505,"18,000",7.0,2013.0,남항로31번길 31,202506~202706,아파트,부산광역시 영도구 남항동1가 남항로31번길 31,23000
11671,부산광역시 부산진구 범천동,1000-24,1000.0,24.0,범내골역한라비발디STUDIO422,전세,23.8499,202505,"6,200",3.0,2013.0,범천로 22,202505~202705,아파트,부산광역시 부산진구 범천동 범천로 22,5600
11703,부산광역시 남구 용호동,776-3,776.0,3.0,벽산화이트타워,전세,84.92,202505,"15,000",8.0,1994.0,용호로269번길 90,202507~202707,아파트,부산광역시 남구 용호동 용호로269번길 90,16800
11708,부산광역시 해운대구 반여동,1477-1,1477.0,1.0,왕자,전세,65.16,202505,"6,000",1.0,1979.0,선수촌로 9,202506~202706,아파트,부산광역시 해운대구 반여동 선수촌로 9,44100
11710,부산광역시 북구 구포동,49,49.0,0.0,삼경장미,전세,84.98,202505,"9,500",18.0,1995.0,시랑로21번길 50,202506~202706,아파트,부산광역시 북구 구포동 시랑로21번길 50,13050
11719,부산광역시 해운대구 재송동,1026-1,1026.0,1.0,시영80년,전세,43.9,202505,"4,000",3.0,1981.0,재반로165번길 82,202506~202706,아파트,부산광역시 해운대구 재송동 재반로165번길 82,9000
11779,부산광역시 사하구 괴정동,398-23,398.0,23.0,신괴정화신아파트,전세,111.28,202505,"12,000",15.0,1990.0,오작로 68,202505~202705,아파트,부산광역시 사하구 괴정동 오작로 68,20200
11789,부산광역시 금정구 장전동,613-14,613.0,14.0,용진마이스터,전세,78.17,202505,"23,000",4.0,2016.0,식물원로39번길 15,202506~202706,아파트,부산광역시 금정구 장전동 식물원로39번길 15,35300
11794,부산광역시 금정구 장전동,607-7,607.0,7.0,허브팰리스장전,전세,73.8558,202505,"26,000",2.0,2019.0,식물원로9번길 10,202506~202706,아파트,부산광역시 금정구 장전동 식물원로9번길 10,37000
11800,부산광역시 금정구 장전동,605-1,605.0,1.0,장전동SJ타워,전세,45.9185,202505,"14,000",9.0,2017.0,식물원로 25,202506~202706,아파트,부산광역시 금정구 장전동 식물원로 25,15500
11803,부산광역시 사하구 당리동,39-18,39.0,18.0,당리형제,전세,59.91,202505,"9,000",11.0,1998.0,제석로95번길 21,202506~202706,아파트,부산광역시 사하구 당리동 제석로95번길 21,8800
11835,부산광역시 서구 서대신동3가,285,285.0,0.0,서대신부백자연애,전세,44.5948,202505,"14,000",4.0,2017.0,구덕로345번길 7,202505~202705,아파트,부산광역시 서구 서대신동3가 구덕로345번길 7,17500
11861,부산광역시 연제구 연산동,137,137.0,0.0,경남,전세,73.82,202505,"19,000",9.0,1994.0,고분로 260,202505~202705,아파트,부산광역시 연제구 연산동 고분로 260,24000
11862,부산광역시 연제구 연산동,1361-9,1361.0,9.0,시청역SKVIEW,전세,84.2077,202505,"31,000",11.0,2018.0,중앙대로1043번길 34,202505~202705,아파트,부산광역시 연제구 연산동 중앙대로1043번길 34,49800
11878,부산광역시 사하구 괴정동,547-1,547.0,1.0,신동양,전세,62.48,202505,"13,000",3.0,1980.0,낙동대로 265,202506~202706,아파트,부산광역시 사하구 괴정동 낙동대로 265,27800
11887,부산광역시 동구 범일동,62-720,62.0,720.0,한성기린,전세,84.21,202505,"17,800",28.0,1997.0,중앙대로 514,202507~202707,아파트,부산광역시 동구 범일동 중앙대로 514,25000
11889,부산광역시 부산진구 부암동,731,731.0,0.0,서면쌍용스윗닷홈파크,전세,102.43,202505,"26,000",25.0,2007.0,신천대로220번길 31,202505~202702,아파트,부산광역시 부산진구 부암동 신천대로220번길 31,36500
11893,부산광역시 부산진구 양정동,399-1,399.0,1.0,한진스카이뷰,전세,49.77,202505,"17,500",22.0,2015.0,거제대로 46,202506~202706,아파트,부산광역시 부산진구 양정동 거제대로 46,24000
11958,부산광역시 남구 용호동,976,976.0,0.0,쌍용예가,전세,59.9639,202505,"21,000",19.0,2013.0,용호로216번가길 46,202506~202705,아파트,부산광역시 남구 용호동 용호로216번가길 46,27900
11965,부산광역시 해운대구 재송동,1182-1,1182.0,1.0,장산동국,전세,59.64,202505,"10,000",14.0,1993.0,재송2로 91,202505~202605,아파트,부산광역시 해운대구 재송동 재송2로 91,15800
12022,부산광역시 기장군 기장읍 교리,343-1,343.0,1.0,가화만사성,전세,53.4307,202505,"12,000",5.0,2004.0,차성동로 167-10,202507~202707,아파트,부산광역시 기장군 기장읍 교리 차성동로 167-10,15800
12030,부산광역시 기장군 정관읍 달산리,1244,1244.0,0.0,두산위브더테라스,전세,84.821,202505,"30,500",5.0,2018.0,산단6로 33-8,202505~202705,아파트,부산광역시 기장군 정관읍 달산리 산단6로 33-8,46500
12052,부산광역시 사상구 엄궁동,25-110,25.0,110.0,엄궁럭키,전세,82.6,202505,"13,500",3.0,1993.0,대동로 34-25,202507~202707,아파트,부산광역시 사상구 엄궁동 대동로 34-25,10850
12053,부산광역시 사상구 엄궁동,1월 10일,1.0,10.0,삼성타워,전세,59.86,202505,"9,000",7.0,1993.0,대동로64번길 40,202506~202706,아파트,부산광역시 사상구 엄궁동 대동로64번길 40,9000
12055,부산광역시 수영구 광안동,199-2,199.0,2.0,에이스로얄팰리스,전세,27.08,202505,"14,000",19.0,2019.0,광남로 102,202506~202706,아파트,부산광역시 수영구 광안동 광남로 102,26000
12056,부산광역시 수영구 망미동,1136,1136.0,0.0,이편한세상3차,전세,84.977,202505,"23,000",2.0,2005.0,좌수영로 192,202506~202706,아파트,부산광역시 수영구 망미동 좌수영로 192,41000
12066,부산광역시 수영구 광안동,1069-3,1069.0,3.0,광안동일스위트,전세,109.9523,202505,"33,000",10.0,2005.0,망미번영로38번길 104,202506~202706,아파트,부산광역시 수영구 광안동 망미번영로38번길 104,37200
12095,부산광역시 남구 문현동,805-1,805.0,1.0,홍익빌레트Ⅲ,전세,49.86,202505,"14,300",13.0,2016.0,전포대로 23,202507~202707,아파트,부산광역시 남구 문현동 전포대로 23,17500
12143,부산광역시 금정구 장전동,604-12,604.0,12.0,윤성리버티,전세,49.7526,202505,"15,500",18.0,2019.0,온천장로125번길 28-20,202506~202706,아파트,부산광역시 금정구 장전동 온천장로125번길 28-20,13633
12175,부산광역시 부산진구 당감동,123,123.0,0.0,태화현대2,전세,59.72,202505,"20,000",8.0,1996.0,가야대로 635-13,202506~202706,아파트,부산광역시 부산진구 당감동 가야대로 635-13,31500
12196,부산광역시 영도구 대교동2가,151-3,151.0,3.0,아이블리스,전세,64.9716,202505,"20,000",12.0,2017.0,절영로 33,202506~202706,아파트,부산광역시 영도구 대교동2가 절영로 33,32200
12210,부산광역시 부산진구 부암동,Aug.52,52.0,8.0,허브팰리스더파크,전세,72.5229,202505,"25,000",4.0,2024.0,시민공원로19번길 51,202506~202706,아파트,부산광역시 부산진구 부암동 시민공원로19번길 51,47500
12216,부산광역시 부산진구 개금동,197-5,197.0,5.0,성원쌍떼뷰,전세,59.715,202505,"15,000",10.0,2004.0,개금온정로 5,202506~202706,아파트,부산광역시 부산진구 개금동 개금온정로 5,22000
12252,부산광역시 해운대구 반여동,1662,1662.0,0.0,메가센텀한화꿈에그린,전세,84.9304,202505,"25,000",7.0,2008.0,반여로 67,202507~202707,아파트,부산광역시 해운대구 반여동 반여로 67,54900
12255,부산광역시 동래구 사직동,1055,1055.0,0.0,사직역삼정그린코아더베스트2차,전세,84.71,202505,"46,000",6.0,2018.0,사직로 16,202507~202707,아파트,부산광역시 동래구 사직동 사직로 16,62000
12262,부산광역시 해운대구 중동,1521-32,1521.0,32.0,마마아파트,전세,127.73,202505,"20,000",5.0,1990.0,좌동순환로 405,202507~202707,아파트,부산광역시 해운대구 중동 좌동순환로 405,23000
12309,부산광역시 연제구 거제동,1513,1513.0,0.0,온천천2차동원로얄듀크,전세,78.2467,202505,"27,000",14.0,2013.0,거제천로269번길 41,202505~202705,아파트,부산광역시 연제구 거제동 거제천로269번길 41,42500
12324,부산광역시 금정구 구서동,1059,1059.0,0.0,구서동쌍용예가2단지,전세,84.9924,202505,"37,000",13.0,2010.0,금샘로 262,202505~202705,아파트,부산광역시 금정구 구서동 금샘로 262,57700
12361,부산광역시 사하구 하단동,529-13,529.0,13.0,섬진1,전세,83.89,202505,"18,000",11.0,2003.0,승학로3번길 23,202506~202706,아파트,부산광역시 사하구 하단동 승학로3번길 23,23000
12399,부산광역시 북구 금곡동,1917,1917.0,0.0,율리역벽산블루밍2단지,전세,84.987,202504,"26,000",1.0,2014.0,효열로 2,202505~202705,아파트,부산광역시 북구 금곡동 효열로 2,28900
12422,부산광역시 부산진구 개금동,1월 7일,1.0,7.0,개금우드빌,전세,44.87,202504,"8,000",12.0,1994.0,백양관문로77번길 81,202504~202704,아파트,부산광역시 부산진구 개금동 백양관문로77번길 81,8800
12424,부산광역시 영도구 동삼동,656,656.0,0.0,조양비취맨션,전세,48.45,202504,"6,000",1.0,1985.0,절영로 504,202504~202704,아파트,부산광역시 영도구 동삼동 절영로 504,7550
12426,부산광역시 영도구 청학동,135,135.0,0.0,화신,전세,84.6,202504,"11,000",3.0,1983.0,태종로358번길 3,202505~202705,아파트,부산광역시 영도구 청학동 태종로358번길 3,18000
12433,부산광역시 동구 초량동,865-166,865.0,166.0,화신1,전세,41.31,202504,"6,500",3.0,1986.0,망양로 516-4,202505~202705,아파트,부산광역시 동구 초량동 망양로 516-4,11500
12460,부산광역시 부산진구 당감동,797,797.0,0.0,"백양뜨란채,주공아파트(1단지)",전세,59.89,202504,"12,000",15.0,1999.0,백양산로53번길 125,202505~202705,아파트,부산광역시 부산진구 당감동 백양산로53번길 125,12000
12491,부산광역시 연제구 거제동,1466-19,1466.0,19.0,대호,전세,79.11,202504,"19,000",14.0,1996.0,거제천로255번길 53,202506~202706,아파트,부산광역시 연제구 거제동 거제천로255번길 53,22000
12539,부산광역시 해운대구 반여동,763-28,763.0,28.0,대산,전세,50.4,202504,"6,000",4.0,1984.0,선수촌로207번가길 10,202505~202705,아파트,부산광역시 해운대구 반여동 선수촌로207번가길 10,17800
12542,부산광역시 해운대구 중동,1515-2,1515.0,2.0,달맞이경동메르빌,전세,65.745,202504,"25,000",8.0,2002.0,달맞이길65번길 12-12,202505~202705,아파트,부산광역시 해운대구 중동 달맞이길65번길 12-12,31000
12549,부산광역시 남구 문현동,351-12,351.0,12.0,벽산기린,전세,84.95,202504,"19,000",14.0,1990.0,지게골로 52-15,202506~202706,아파트,부산광역시 남구 문현동 지게골로 52-15,29000
12558,부산광역시 남구 용호동,976,976.0,0.0,쌍용예가,전세,84.9995,202504,"27,000",5.0,2013.0,용호로216번가길 10,202506~202706,아파트,부산광역시 남구 용호동 용호로216번가길 10,38000
12565,부산광역시 남구 대연동,967-1,967.0,1.0,대영(967-1),전세,64.73,202504,"8,000",1.0,1976.0,석포로126번길 4,202505~202705,아파트,부산광역시 남구 대연동 석포로126번길 4,13500
12586,부산광역시 사하구 당리동,Mar.33,33.0,3.0,우림그린맨션,전세,84.78,202504,"12,000",10.0,1991.0,제석로95번길 22-5,202505~202705,아파트,부산광역시 사하구 당리동 제석로95번길 22-5,13500
12603,부산광역시 서구 암남동,611-5,611.0,5.0,송도현대,전세,84.865,202504,"8,000",14.0,1992.0,암남공원로 72,202505~202705,아파트,부산광역시 서구 암남동 암남공원로 72,26000
12604,부산광역시 부산진구 연지동,353-1,353.0,1.0,세동한신,전세,59.91,202504,"17,000",2.0,1995.0,새싹로 183,202505~202705,아파트,부산광역시 부산진구 연지동 새싹로 183,30500
12616,부산광역시 부산진구 범천동,875-11,875.0,11.0,평광우리가,전세,36.79,202504,"9,500",7.0,2015.0,신천대로65번길 90,202505~202705,아파트,부산광역시 부산진구 범천동 신천대로65번길 90,11500
12617,부산광역시 부산진구 범천동,1643,1643.0,0.0,범일역풍림아이원,전세,125.9662,202504,"39,000",9.0,2012.0,범일로154번길 33,202506~202706,아파트,부산광역시 부산진구 범천동 범일로154번길 33,39500
12630,부산광역시 부산진구 당감동,768-1,768.0,1.0,백산,전세,48.8,202504,"7,800",3.0,1988.0,백양순환로 55,202506~202706,아파트,부산광역시 부산진구 당감동 백양순환로 55,9500
12634,부산광역시 부산진구 부암동,560-14,560.0,14.0,협성피닉스타운,전세,148.35,202504,"20,000",1.0,1993.0,당감로 118,202505~202705,아파트,부산광역시 부산진구 부암동 당감로 118,16700
12642,부산광역시 부산진구 부전동,423-4,423.0,4.0,다솜빌,전세,34.53,202504,"7,900",3.0,2011.0,부전로95번길 40,202505~202705,아파트,부산광역시 부산진구 부전동 부전로95번길 40,5000
12658,부산광역시 동래구 안락동,603-13,603.0,13.0,안락지음,전세,45.9211,202504,"15,000",5.0,2017.0,충렬대로428번길 40,202506~202706,아파트,부산광역시 동래구 안락동 충렬대로428번길 40,21500
12669,부산광역시 동구 초량동,1165-11,1165.0,11.0,부산역유림줄리엣,전세,24.5973,202504,"10,300",11.0,2014.0,중앙대로274번길 7-3,202506~202706,아파트,부산광역시 동구 초량동 중앙대로274번길 7-3,5200
12675,부산광역시 영도구 동삼동,265,265.0,0.0,경전,전세,85.75,202504,"11,000",7.0,1993.0,동삼동로 10,202505~202705,아파트,부산광역시 영도구 동삼동 동삼동로 10,15600
12685,부산광역시 해운대구 우동,1007-16,1007.0,16.0,대우동삼,전세,164.5,202504,"40,000",3.0,1993.0,해운대로452번길 18,202507~202707,아파트,부산광역시 해운대구 우동 해운대로452번길 18,94000
12765,부산광역시 강서구 명지동,3243,3243.0,0.0,엘크루블루오션,전세,244.19,202504,"80,000",1.0,2012.0,명지오션시티12로 120,202506~202706,아파트,부산광역시 강서구 명지동 명지오션시티12로 120,91000
12796,부산광역시 사하구 괴정동,932-3,932.0,3.0,영원베네스트아파트,전세,69.21,202504,"23,900",3.0,2017.0,낙동대로234번길 1,202506~202706,아파트,부산광역시 사하구 괴정동 낙동대로234번길 1,29500
12801,부산광역시 해운대구 반여동,982-14,982.0,14.0,신동아,전세,59.78,202504,"12,000",19.0,1996.0,반여로 176,202505~202705,아파트,부산광역시 해운대구 반여동 반여로 176,17000
12845,부산광역시 사상구 주례동,317,317.0,0.0,동일,전세,84.93,202504,"12,000",2.0,1989.0,양지로 47,202505~202705,아파트,부산광역시 사상구 주례동 양지로 47,13300
12866,부산광역시 해운대구 재송동,1051-2,1051.0,2.0,현대(1051-2),전세,41.235,202504,"7,000",5.0,1988.0,해운대로81번길 60,202505~202705,아파트,부산광역시 해운대구 재송동 해운대로81번길 60,16750
12902,부산광역시 금정구 장전동,732,732.0,0.0,금정산쌍용예가,전세,84.9024,202504,"32,000",22.0,2012.0,금강로379번길 50,202506~202706,아파트,부산광역시 금정구 장전동 금강로379번길 50,51000
12927,부산광역시 영도구 청학동,69-93,69.0,93.0,한일유앤아이,전세,84.4568,202504,"13,200",6.0,2005.0,일산봉로 58,202505~202705,아파트,부산광역시 영도구 청학동 일산봉로 58,17300
13003,부산광역시 동래구 명장동,300-89,300.0,89.0,한신,전세,66.6,202504,"9,000",4.0,1988.0,명서로112번길 82,202505~202705,아파트,부산광역시 동래구 명장동 명서로112번길 82,21000
13128,부산광역시 금정구 장전동,576-8,576.0,8.0,온천아이브,전세,28.32,202504,"13,000",15.0,2016.0,금강로 184,202506~202706,아파트,부산광역시 금정구 장전동 금강로 184,17250
13137,부산광역시 금정구 서동,208-22,208.0,22.0,대묵M-PARK(베스트로즈힐),전세,80.86,202504,"14,000",4.0,2006.0,반송로 397,202505~202705,아파트,부산광역시 금정구 서동 반송로 397,8000
13152,부산광역시 해운대구 재송동,1071-8,1071.0,8.0,센텀시티더블유,전세,84.19,202504,"22,600",9.0,2013.0,해운대로123번길 5,202505~202705,아파트,부산광역시 해운대구 재송동 해운대로123번길 5,28500
13155,부산광역시 남구 감만동,189-78,189.0,78.0,유창그린2차,전세,108.73,202504,"17,000",9.0,2012.0,양지골로 134,202505~202705,아파트,부산광역시 남구 감만동 양지골로 134,15500
13186,부산광역시 동래구 안락동,466-19,466.0,19.0,덕경네오빌,전세,69.9182,202504,"15,300",5.0,2006.0,안락로125번길 31,202505~202705,아파트,부산광역시 동래구 안락동 안락로125번길 31,23000
13196,부산광역시 동래구 명장동,300-55,300.0,55.0,동양맨션,전세,58.28,202504,"7,500",5.0,1982.0,명서로 160,202506~202706,아파트,부산광역시 동래구 명장동 명서로 160,18000
13233,부산광역시 연제구 연산동,1143-2,1143.0,2.0,성우로하스캐슬,전세,33.29,202504,"17,010",9.0,2017.0,거제천로154번길 41,202505~202705,아파트,부산광역시 연제구 연산동 거제천로154번길 41,16000
13250,부산광역시 사상구 괘법동,521-1,521.0,1.0,사상센텀아파트,전세,57.44,202504,"17,500",6.0,2017.0,광장로21번길 46,202506~202706,아파트,부산광역시 사상구 괘법동 광장로21번길 46,17800
13273,부산광역시 기장군 일광읍 삼성리,713-1,713.0,1.0,선우,전세,80.79,202504,"9,975",4.0,1991.0,일역길 75-38,202504~202704,아파트,부산광역시 기장군 일광읍 삼성리 일역길 75-38,19000
13276,부산광역시 연제구 거제동,589-11,589.0,11.0,큐브빌,전세,49.736,202504,"14,900",8.0,2016.0,거제시장로 36,202506~202706,아파트,부산광역시 연제구 거제동 거제시장로 36,18700
13291,부산광역시 기장군 기장읍 교리,268,268.0,0.0,부전타워,전세,83.36,202504,"11,000",5.0,1992.0,차성로436번길 28,202505~202705,아파트,부산광역시 기장군 기장읍 교리 차성로436번길 28,11700
13293,부산광역시 사상구 엄궁동,1,1.0,0.0,무학다솜,전세,59.98,202504,"12,000",13.0,2000.0,대동로64번길 22,202505~202705,아파트,부산광역시 사상구 엄궁동 대동로64번길 22,10700
13302,부산광역시 사상구 덕포동,51,51.0,0.0,오양힐타운,전세,84.945,202504,"12,000",9.0,1992.0,덕상로 8-35,202505~202705,아파트,부산광역시 사상구 덕포동 덕상로 8-35,13400
13310,부산광역시 북구 만덕동,943-1,943.0,1.0,상록한신휴플러스,전세,59.941,202504,"11,900",5.0,2006.0,함박봉로140번길 16,202505~202705,아파트,부산광역시 북구 만덕동 함박봉로140번길 16,15350
13339,부산광역시 금정구 구서동,184-36,184.0,36.0,보성오페라,전세,50.7,202504,"16,300",9.0,2018.0,중앙대로 1913,202505~202705,아파트,부산광역시 금정구 구서동 중앙대로 1913,13800
13403,부산광역시 영도구 동삼동,1170,1170.0,0.0,영도일동미라주브라이튼(1단지),전세,60.22,202504,"20,000",15.0,2014.0,동삼북로 20,202505~202705,아파트,부산광역시 영도구 동삼동 동삼북로 20,35800
13446,부산광역시 기장군 기장읍 동부리,158-3,158.0,3.0,서린에코빌아파트,전세,59.295,202504,"10,000",4.0,1989.0,차성로326번길 19,202505~202705,아파트,부산광역시 기장군 기장읍 동부리 차성로326번길 19,12500
13447,부산광역시 사상구 괘법동,547-15,547.0,15.0,대성캐슬,전세,41.49,202504,"8,500",4.0,2016.0,광장로86번길 12,202505~202705,아파트,부산광역시 사상구 괘법동 광장로86번길 12,14300
13493,부산광역시 금정구 남산동,Aug.35,35.0,8.0,삼성,전세,49.14,202504,"9,000",10.0,1992.0,금단로 136,202506~202706,아파트,부산광역시 금정구 남산동 금단로 136,11800
13496,부산광역시 사하구 괴정동,890-4,890.0,4.0,유성해네스타워,전세,41.9919,202504,"16,000",9.0,2019.0,사하로197번길 40,202506~202706,아파트,부산광역시 사하구 괴정동 사하로197번길 40,21200
13520,부산광역시 금정구 남산동,120-8,120.0,8.0,휴림아르페,전세,43.9362,202504,"18,500",16.0,2023.0,학산로 8,202506~202706,아파트,부산광역시 금정구 남산동 학산로 8,25400
13522,부산광역시 사하구 하단동,870-94,870.0,94.0,대청가람채,전세,48.51,202504,"13,000",7.0,2016.0,하신중앙로313번길 68,202506~202706,아파트,부산광역시 사하구 하단동 하신중앙로313번길 68,15500
13584,부산광역시 서구 서대신동3가,31-57,31.0,57.0,금호어울림,전세,84.99,202504,"25,000",8.0,2004.0,꽃마을로 57,202504~202604,아파트,부산광역시 서구 서대신동3가 꽃마을로 57,30000
13610,부산광역시 연제구 연산동,304-1,304.0,1.0,경동,전세,84.87,202504,"22,000",3.0,1994.0,과정로344번길 50,202506~202706,아파트,부산광역시 연제구 연산동 과정로344번길 50,26000
13621,부산광역시 수영구 남천동,12월 22일,12.0,22.0,남천블루비치,전세,47.22,202504,"17,000",5.0,2016.0,남천동로9번길 15,202505~202705,아파트,부산광역시 수영구 남천동 남천동로9번길 15,22400
13677,부산광역시 부산진구 연지동,403,403.0,0.0,연지자이,전세,84.8798,202504,"28,000",7.0,2007.0,동평로183번길 67,202506~202706,아파트,부산광역시 부산진구 연지동 동평로183번길 67,38900
13692,부산광역시 부산진구 연지동,381,381.0,0.0,경동,전세,84.6885,202504,"20,000",9.0,2005.0,초연로21번길 102,202505~202705,아파트,부산광역시 부산진구 연지동 초연로21번길 102,21000
13770,부산광역시 기장군 기장읍 동부리,333,333.0,0.0,이진스카이빌,전세,59.97,202504,"15,200",10.0,2004.0,차성서로 158-12,202505~202705,아파트,부산광역시 기장군 기장읍 동부리 차성서로 158-12,16900
13783,부산광역시 사상구 주례동,939,939.0,0.0,주례1차동일,전세,59.96,202504,"14,000",20.0,1998.0,백양대로494번길 10,202506~202706,아파트,부산광역시 사상구 주례동 백양대로494번길 10,24400
13797,부산광역시 사하구 괴정동,263-1,263.0,1.0,경성스마트더블유아파트2차,전세,58.89,202504,"17,000",3.0,2017.0,낙동대로 182,202506~202706,아파트,부산광역시 사하구 괴정동 낙동대로 182,17000
13808,부산광역시 사하구 신평동,437,437.0,0.0,삼창강변1,전세,84.6,202504,"15,000",12.0,1998.0,비봉로 37,202505~202705,아파트,부산광역시 사하구 신평동 비봉로 37,16900
13861,부산광역시 사하구 장림동,532,532.0,0.0,벽산아파트,전세,84.73,202504,"7,000",14.0,1992.0,장평로41번길 19,202503~202703,아파트,부산광역시 사하구 장림동 장평로41번길 19,12800
13868,부산광역시 사하구 당리동,180,180.0,0.0,당리반도보라맨션,전세,183.01,202504,"25,000",7.0,1992.0,제석로79번길 11,202504~203104,아파트,부산광역시 사하구 당리동 제석로79번길 11,22300
13891,부산광역시 남구 문현동,1244,1244.0,0.0,문현경동리인아파트,전세,72.5806,202504,"32,000",12.0,2020.0,문현로 36-2,202505~202705,아파트,부산광역시 남구 문현동 문현로 36-2,40000
13941,부산광역시 동구 초량동,865-31,865.0,31.0,동일파크,전세,47.61,202504,"6,500",1.0,1984.0,망양로 483,202505~202705,아파트,부산광역시 동구 초량동 망양로 483,10700
14005,부산광역시 연제구 거제동,1472,1472.0,0.0,거제동3차동원로얄듀크,전세,59.8995,202504,"25,000",8.0,2004.0,법원북로41번길 5,202505~202705,아파트,부산광역시 연제구 거제동 법원북로41번길 5,28000
14033,부산광역시 사상구 괘법동,541-3,541.0,3.0,올유레스틴뷰,전세,37.8214,202504,"11,000",12.0,2018.0,사상로202번길 60,202504~202704,아파트,부산광역시 사상구 괘법동 사상로202번길 60,14600
14041,부산광역시 해운대구 우동,493-1,493.0,1.0,아림비치,전세,46.67,202504,"10,000",5.0,1986.0,우동1로 37,202505~202705,아파트,부산광역시 해운대구 우동 우동1로 37,40000
14048,부산광역시 남구 우암동,25,25.0,0.0,자유1,전세,84.98,202504,"20,000",5.0,1991.0,우암로154번길 57,202506~202706,아파트,부산광역시 남구 우암동 우암로154번길 57,22500
14066,부산광역시 동래구 온천동,1250-16,1250.0,16.0,지음시그너스인동래,전세,66.98,202504,"22,800",3.0,2023.0,사직북로28번길 148,202503~202703,아파트,부산광역시 동래구 온천동 사직북로28번길 148,32387
14091,부산광역시 사하구 하단동,616-9,616.0,9.0,하단동한웅드리머스,전세,47.035,202504,"15,500",10.0,2018.0,낙동대로457번길 52,202508~202708,아파트,부산광역시 사하구 하단동 낙동대로457번길 52,21500
14108,부산광역시 부산진구 연지동,May.41,41.0,5.0,연지동백리명가에덴,전세,72.02,202504,"20,000",5.0,2017.0,성지로8번길 40,202505~202705,아파트,부산광역시 부산진구 연지동 성지로8번길 40,27300
14145,부산광역시 영도구 남항동3가,31,31.0,0.0,영도화랑,전세,57.04,202504,"7,600",6.0,1986.0,남항남로19번길 29,202505~202705,아파트,부산광역시 영도구 남항동3가 남항남로19번길 29,8400
14147,부산광역시 부산진구 개금동,57,57.0,0.0,우성,전세,95.53,202504,"17,000",12.0,1989.0,백양대로208번길 38-25,202504~202704,아파트,부산광역시 부산진구 개금동 백양대로208번길 38-25,23000
14164,부산광역시 부산진구 범천동,735-6,735.0,6.0,토운모닝톤,전세,49.8,202504,"13,000",9.0,2016.0,범일로131번길 43,202505~202705,아파트,부산광역시 부산진구 범천동 범일로131번길 43,15000
14230,부산광역시 수영구 망미동,693-1,693.0,1.0,더샵파크리치,전세,84.98,202504,"32,000",7.0,2007.0,연수로315번길 16,202506~202706,아파트,부산광역시 수영구 망미동 연수로315번길 16,59000
14262,부산광역시 사하구 장림동,566-12,566.0,12.0,국제마마,전세,65.385,202504,"7,600",8.0,1993.0,장평로41번길 51,202506~202706,아파트,부산광역시 사하구 장림동 장평로41번길 51,6100
14272,부산광역시 금정구 구서동,415-3,415.0,3.0,구서시티타워,전세,78.284,202504,"21,000",13.0,2005.0,금정로233번길 31,202505~202705,아파트,부산광역시 금정구 구서동 금정로233번길 31,24400
14295,부산광역시 금정구 남산동,262-4,262.0,4.0,수민위즈빌,전세,84.9347,202504,"10,000",9.0,2003.0,금단로 171,202505~202705,아파트,부산광역시 금정구 남산동 금단로 171,24000
14307,부산광역시 금정구 구서동,162-8,162.0,8.0,청아리치타운,전세,84.44,202504,"18,000",6.0,2003.0,중앙대로 1963-1,202504~202509,아파트,부산광역시 금정구 구서동 중앙대로 1963-1,3500
14310,부산광역시 사하구 다대동,1552,1552.0,0.0,대우,전세,99.92,202504,"20,000",2.0,1998.0,다대낙조1길 12,202505~202705,아파트,부산광역시 사하구 다대동 다대낙조1길 12,55000
